guess,totalgreen,totalyellow,greenrank,yellowrank
LOWLY,670,828,#1325,#3012
LOYAL,563,1505,#2203,#1650
LUCID,465,1468,#2764,#1776
LUCKY,529,1062,#2427,#2760
LULLS,424,907,#2905,#2953
LUMPS,300,1451,#3087,#1842
LUMPY,516,1064,#2494,#2758
LUNAR,579,2014,#2076,#292
LUNCH,517,1363,#2486,#2110
LUNGE,711,1592,#1028,#1333
LUNGS,388,1539,#2991,#1530
LURCH,540,1565,#2365,#1424
LURED,644,1933,#1560,#455
LURES,578,2166,#2090,#121
LURID,547,1691,#2315,#1019
LURKS,395,1672,#2971,#1081
LUSTS,379,1462,#3004,#1802
LUSTY,595,1490,#1949,#1693
LUTES,535,2097,#2388,#196
LYING,446,1463,#2830,#1795
LYMPH,265,1283,#3097,#2332
LYNCH,401,1424,#2959,#1930
LYRIC,366,1869,#3025,#572
MACES,606,1947,#1872,#414
MADAM,525,763,#2446,#3040
MADLY,728,1265,#895,#2386
MAGIC,513,1485,#2510,#1710
MAIDS,582,1580,#2057,#1377
MAILS,648,1720,#1526,#937
MAINS,668,1626,#1334,#1226
MAIZE,867,1415,#299,#1956
MAJOR,556,1576,#2250,#1388
MAKER,695,1862,#1143,#588
MAKES,570,1797,#2166,#732
MALES,641,2066,#1583,#226
MAMMA,449,557,#2822,#3087
MANES,665,1968,#1354,#378
MANGA,517,1126,#2486,#2655
MANGE,821,1596,#452,#1326
MANGO,523,1599,#2454,#1312
MANGY,714,1156,#1006,#2603
MANIA,587,1309,#2010,#2260
MANLY,774,1351,#653,#2148
MANNA,597,831,#1931,#3010
MANOR,657,1871,#1444,#570
MANSE,893,1740,#223,#869
MAPLE,817,1686,#467,#1031
MARCH,650,1569,#1506,#1407
MARES,688,2170,#1180,#114
MARKS,505,1676,#2552,#1068
MARRY,797,1094,#542,#2706
MARSH,674,1660,#1280,#1123
MARTS,565,1995,#2197,#325
MASKS,429,1147,#2887,#2616
MASON,545,1793,#2325,#748
MASTS,489,1466,#2635,#1785
MATCH,607,1500,#1862,#1663
MATED,711,1868,#1028,#574
MATES,645,2101,#1553,#187
MAUVE,817,1398,#467,#2008
MAXIM,482,989,#2677,#2867
MAYBE,696,1551,#1136,#1475
MAYOR,575,1817,#2123,#689
MAZES,572,1673,#2149,#1077
MEALS,673,2034,#1288,#269
MEALY,889,1647,#232,#1166
MEANS,693,1940,#1157,#433
MEANT,871,1840,#285,#634
MEATS,657,2089,#1444,#206
MEDAL,578,1962,#2090,#395
MEDIA,501,2037,#2577,#265
MEETS,531,1623,#2416,#1234
MELON,534,1959,#2396,#398
MELTS,478,2047,#2698,#251
MEMES,564,1073,#2199,#2744
MENDS,452,1754,#2809,#834
MENUS,461,1796,#2778,#735
MERCY,745,1567,#810,#1416
MERES,648,1618,#1526,#1254
MERGE,804,1246,#516,#2420
MERIT,729,1984,#890,#341
MERRY,757,1250,#746,#2418
MESAS,471,1782,#2731,#778
METAL,604,2181,#1880,#107
METED,671,1316,#1317,#2232
METER,730,1614,#881,#1262
MEWED,606,993,#1872,#2862
MIDST,623,1357,#1735,#2128
MIENS,528,1882,#2430,#550
MIGHT,503,1280,#2568,#2341
MILCH,524,1321,#2451,#2218
MILES,562,1922,#2210,#476
MILKY,595,1041,#1949,#2791
MILLS,455,1257,#2797,#2399
MIMES,525,1481,#2446,#1725
MIMIC,429,649,#2887,#3071
MINCE,790,1505,#570,#1650
MINDS,413,1454,#2930,#1836
MINED,652,1591,#1489,#1338
MINER,711,1889,#1028,#536
MINES,586,1824,#2016,#673
MINOR,578,1727,#2090,#913
MINTS,463,1649,#2769,#1159
MINUS,422,1496,#2911,#1675
MIRTH,567,1622,#2184,#1236
MISER,658,1977,#1438,#357
MISTS,410,1322,#2935,#2216
MITES,566,1957,#2188,#402
MIXED,559,1300,#2228,#2282
MIXES,493,1533,#2613,#1545
MOANS,728,1610,#895,#1280
MOATS,692,1759,#1159,#822
MOCKS,418,1279,#2921,#2347
MODEL,714,1647,#1006,#1166
MODEM,621,1262,#1752,#2392
MODES,614,1708,#1802,#972
MOIST,833,1395,#415,#2023
MOLAR,660,1942,#1407,#428
MOLES,636,1892,#1631,#531
MOMMA,444,1041,#2838,#2791
MONEY,876,1407,#273,#1979
MONKS,477,1300,#2703,#2282
MONTH,618,1390,#1775,#2040
MOODS,585,970,#2021,#2888
MOODY,801,583,#524,#3081
MOONS,671,1016,#1317,#2827
MOORS,651,1261,#1494,#2395
MOOSE,986,1112,#74,#2685
MOPED,662,1456,#1384,#1828
MORAL,682,1920,#1222,#479
MORES,683,1996,#1214,#323
MOSSY,728,799,#895,#3022
MOTES,640,1927,#1591,#467
MOTHS,435,1608,#2864,#1282
MOTIF,537,1401,#2379,#1995
MOTOR,632,1358,#1661,#2125
MOTTO,542,853,#2346,#2998
MOUND,658,1137,#1438,#2635
MOUNT,770,1270,#679,#2371
MOURN,638,1514,#1606,#1608
MOUSE,907,1466,#189,#1785
MOUTH,637,1290,#1622,#2313
MOVED,662,1323,#1384,#2214
MOVER,721,1621,#952,#1240
MOVES,596,1556,#1942,#1460
MOVIE,822,1367,#446,#2104
MOWED,641,1371,#1583,#2090
MOWER,700,1669,#1109,#1093
MUCUS,346,1010,#3050,#2834
MUDDY,566,573,#2188,#3084
MULES,545,1786,#2325,#767
MULTI,401,1669,#2959,#1093
MUMMY,550,307,#2292,#3102
MUMPS,314,959,#3073,#2906
MUNCH,531,1087,#2416,#2721
MURAL,591,1814,#1982,#699
MURKY,625,1009,#1720,#2835
MUSED,582,1543,#2057,#1513
MUSES,516,1361,#2494,#2120
MUSIC,420,1418,#2917,#1949
MUSKY,549,895,#2307,#2966
MUSTY,609,1214,#1845,#2485
MUTED,615,1588,#1794,#1345
MUTES,549,1821,#2307,#679
MYRRH,450,1033,#2819,#2805
MYTHS,228,1563,#3101,#1431
NABOB,397,1472,#2963,#1759
NAILS,591,1965,#1982,#388
NAIVE,831,1725,#421,#918
NAKED,579,1809,#2076,#708
NAMED,613,1853,#1813,#608
NAMES,547,2086,#2315,#209
NASAL,554,1567,#2271,#1416
NASTY,648,1739,#1526,#873
NATAL,587,1612,#2010,#1271
NATTY,681,1301,#1229,#2280
NAVAL,543,1241,#2337,#2431
NAVEL,644,1914,#1560,#491
NAVES,544,1975,#2334,#361
NEARS,616,2430,#1786,#15
NECKS,326,1854,#3066,#606
NEEDS,424,1673,#2905,#1077
NEEDY,640,1286,#1591,#2320
NEIGH,572,1697,#2149,#1000
NERVE,724,1393,#932,#2032
NESTS,392,1867,#2982,#577
NEVER,629,1488,#1691,#1700
NEWER,608,1536,#1857,#1536
NEWLY,592,1562,#1973,#1437
NICER,595,2113,#1949,#177
NICHE,588,1782,#2003,#778
NIECE,762,1424,#723,#1930
NIGHT,446,1525,#2830,#1569
NINNY,658,547,#1438,#3089
NOBLE,757,1709,#746,#970
NOBLY,650,1269,#1506,#2373
NOISE,921,1793,#157,#748
NOISY,814,1353,#480,#2140
NOMAD,507,1664,#2544,#1114
NONCE,807,1324,#503,#2212
NOOKS,518,1091,#2482,#2714
NOOSE,929,1357,#145,#2128
NORTH,584,1837,#2034,#641
NOSED,616,1894,#1786,#527
NOSES,550,1712,#2292,#958
NOTCH,545,1571,#2325,#1401
NOTED,649,1939,#1518,#436
NOTES,583,2172,#2047,#113
NOUNS,535,1219,#2388,#2477
NOVEL,639,1740,#1597,#869
NUDGE,622,1475,#1746,#1746
NURSE,763,1907,#710,#506
NYMPH,222,1252,#3102,#2412
OAKEN,578,2058,#2090,#234
OAKUM,355,1601,#3042,#1305
OASES,554,2003,#2271,#311
OASIS,457,1761,#2788,#818
OATEN,653,2362,#1480,#25
OATHS,382,2144,#2998,#145
OBESE,652,1478,#1489,#1737
OBEYS,199,2092,#3103,#202
OCCUR,314,1550,#3073,#1480
OCEAN,406,2416,#2945,#17
OCHRE,534,2105,#2396,#185
ODDER,479,1817,#2692,#689
ODDLY,463,1135,#2769,#2639
ODIUM,333,1534,#3058,#1540
OFFAL,306,1604,#3081,#1295
OFFER,432,1745,#2875,#856
OFTEN,436,2029,#2862,#276
OILED,570,2051,#2166,#245
OLDEN,552,1997,#2282,#321
OLDER,611,2163,#1833,#126
OMENS,354,2100,#3043,#189
OMITS,379,1849,#3004,#617
ONION,480,1036,#2685,#2799
ONSET,582,2173,#2057,#112
OOZED,575,1156,#2123,#2603
OOZES,509,1389,#2534,#2044
OPALS,480,1951,#2685,#411
OPENS,374,2099,#3014,#193
OPERA,373,2585,#3017,#1
OPINE,758,1752,#741,#840
OPIUM,365,1465,#3030,#1788
OPTIC,316,1816,#3070,#691
ORBIT,607,1784,#1862,#773
ORDER,667,1648,#1340,#1162
ORGAN,497,2038,#2596,#263
OSIER,614,2325,#1802,#36
OTHER,481,2351,#2679,#28
OTTER,555,2020,#2263,#285
OUGHT,428,1506,#2895,#1641
OUNCE,715,1731,#1001,#899
OUTDO,343,1397,#3052,#2010
OUTER,616,2248,#1786,#68
OVALS,443,1855,#2842,#601
OVARY,659,1619,#1420,#1250
OVENS,337,2003,#3055,#311
OVERT,495,2148,#2606,#138
OWING,426,1386,#2899,#2052
OWNED,485,1715,#2656,#951
OWNER,544,2013,#2334,#294
OXIDE,636,1527,#1631,#1566
OZONE,720,1143,#960,#2623
PACES,620,1952,#1760,#406
PACKS,437,1458,#2861,#1822
PADDY,676,858,#1268,#2994
PADRE,849,1861,#354,#591
PAEAN,673,1581,#1288,#1372
PAGAN,588,1074,#2003,#2743
PAGES,623,1848,#1735,#621
PAILS,662,1725,#1384,#918
PAINS,682,1631,#1222,#1212
PAINT,860,1531,#318,#1552
PAIRS,662,1876,#1384,#557
PALED,721,1838,#952,#640
PALER,780,2136,#627,#151
PALES,655,2071,#1467,#223
PALMS,481,1646,#2679,#1171
PALMY,697,1259,#1126,#2396
PALSY,776,1403,#639,#1986
PANEL,779,1912,#631,#494
PANES,679,1973,#1243,#365
PANGS,512,1548,#2518,#1491
PANIC,583,1615,#2047,#1260
PANSY,800,1305,#527,#2269
PANTS,556,1798,#2250,#728
PAPAL,614,902,#1802,#2962
PAPAS,514,963,#2501,#2898
PAPER,740,1701,#834,#990
PARED,768,1942,#689,#428
PARKA,538,1264,#2375,#2388
PARKS,519,1681,#2473,#1051
PARRY,811,1099,#491,#2700
PARSE,930,1947,#142,#414
PARTS,579,2000,#2076,#317
PARTY,795,1613,#546,#1265
PASHA,440,1325,#2852,#2209
PASTE,826,1939,#434,#436
PASTY,719,1499,#969,#1666
PATCH,621,1505,#1752,#1650
PATES,659,2106,#1420,#183
PATHS,454,1787,#2802,#766
PATIO,587,1920,#2010,#479
PAUSE,926,1645,#151,#1173
PAVED,681,1502,#1229,#1658
PAWED,660,1550,#1407,#1480
PAWNS,507,1459,#2544,#1819
PAYED,663,1686,#1377,#1031
PAYER,722,1984,#945,#341
PEACE,998,1242,#60,#2427
PEACH,756,1668,#754,#1098
PEAKS,611,1775,#1833,#788
PEALS,687,2039,#1187,#260
PEARL,787,2129,#583,#159
PEARS,687,2190,#1187,#101
PEASE,1022,1333,#36,#2187
PECKS,397,1614,#2963,#1262
PEDAL,592,1967,#1973,#383
PEEPS,474,1185,#2717,#2546
PEERS,561,1724,#2215,#925
PELTS,492,2052,#2618,#244
PENAL,638,2053,#1606,#242
PENCE,843,1102,#372,#2696
PENIS,542,1887,#2346,#540
PENNY,768,1022,#689,#2819
PEONS,650,1823,#1506,#675
PERCH,624,1730,#1727,#904
PERIL,665,2028,#1354,#277
PESKY,619,1336,#1769,#2178
PESOS,453,1640,#2806,#1193
PESTS,463,1627,#2769,#1222
PETAL,618,2186,#1775,#104
PETTY,712,1217,#1019,#2480
PHASE,958,1581,#119,#1372
PHIAL,664,1575,#1369,#1390
PHONE,909,1416,#183,#1952
PHOTO,575,1096,#2123,#2704
PIANO,693,1701,#1157,#990
PICKS,358,1314,#3038,#2239
PIECE,833,1184,#415,#2550
PIERS,522,2132,#2462,#154
PIETY,722,1649,#945,#1159
PIGMY,586,892,#2016,#2968
PIKES,505,1658,#2552,#1130
PILED,642,1694,#1577,#1009
PILES,576,1927,#2112,#467
PILLS,469,1262,#2740,#2392
PILOT,621,1665,#1752,#1108
PINCH,562,1228,#2210,#2462
PINED,666,1596,#1347,#1326
PINES,600,1829,#1911,#657
PINKS,417,1335,#2924,#2183
PINTO,502,1710,#2573,#964
PINTS,477,1654,#2703,#1142
PIOUS,534,1519,#2396,#1584
PIPED,602,1259,#1896,#2396
PIPER,661,1557,#1396,#1452
PIPES,536,1492,#2384,#1690
PIQUE,657,1265,#1444,#2386
PITCH,542,1361,#2346,#2120
PITHY,591,1256,#1982,#2402
PIVOT,581,1329,#2065,#2198
PLACE,963,1648,#111,#1162
PLAID,728,1492,#895,#1690
PLAIN,728,1624,#895,#1230
PLAIT,840,1625,#384,#1229
PLANE,995,1696,#66,#1002
PLANK,723,1291,#938,#2310
PLANS,672,1643,#1306,#1182
PLANT,850,1543,#346,#1513
PLATE,959,1845,#118,#627
PLAYS,534,1645,#2396,#1173
PLAZA,567,962,#2184,#2903
PLEAD,598,1961,#1926,#397
PLEAS,532,2194,#2410,#97
PLIED,760,1576,#735,#1388
PLIES,694,1809,#1150,#708
PLOTS,579,1670,#2076,#1089
PLUCK,555,1003,#2263,#2843
PLUGS,456,1302,#2793,#2276
PLUMB,433,1068,#2871,#2749
PLUME,772,1355,#665,#2132
PLUMS,449,1302,#2822,#2276
PLUSH,609,1217,#1845,#2480
PODIA,550,1712,#2292,#958
POEMS,529,1756,#2427,#827
POESY,824,1513,#443,#1613
POETS,580,2006,#2070,#307
POINT,855,1357,#332,#2128
POISE,992,1553,#71,#1471
POKED,645,1395,#1553,#2023
POKER,704,1693,#1077,#1012
POKES,579,1628,#2076,#1220
POLAR,674,1947,#1280,#414
POLES,650,1897,#1506,#522
POLKA,486,1644,#2651,#1179
POLLS,543,1232,#2337,#2452
PONDS,501,1429,#2577,#1912
POOLS,665,1115,#1354,#2682
POPES,610,1462,#1839,#1802
POPPA,435,1071,#2864,#2746
POPPY,632,443,#1661,#3099
PORCH,659,1400,#1420,#2004
PORED,763,1768,#710,#801
PORES,697,2001,#1126,#315
PORTS,574,1826,#2130,#667
POSED,687,1654,#1187,#1142
POSER,746,1952,#803,#406
POSES,621,1472,#1752,#1759
POSSE,849,1244,#354,#2425
POSTS,498,1297,#2593,#2294
POUCH,655,1098,#1467,#2701
POUND,672,1142,#1306,#2625
POURS,586,1620,#2016,#1246
POWER,714,1674,#1006,#1073
PRANK,779,1386,#631,#2052
PRATE,1015,1940,#45,#433
PRAYS,590,1740,#1991,#869
PRESS,594,1608,#1954,#1282
PREYS,464,1982,#2767,#345
PRICE,954,1585,#121,#1356
PRICK,682,1180,#1222,#2559
PRIDE,900,1587,#203,#1350
PRIED,816,1671,#473,#1086
PRIES,750,1904,#785,#510
PRIME,899,1532,#205,#1550
PRINT,841,1480,#382,#1731
PRIOR,742,1197,#823,#2521
PRISM,662,1393,#1384,#2032
PRIVY,776,994,#639,#2859
PRIZE,862,1369,#310,#2101
PROBE,871,1577,#285,#1384
PRONE,994,1669,#67,#1093
PROOF,619,1022,#1769,#2819
PROPS,564,1322,#2199,#2216
PROSE,986,1712,#74,#958
PROSY,879,1272,#264,#2367
PROUD,660,1379,#1407,#2071
PROVE,891,1470,#230,#1771
PROWL,650,1401,#1506,#1995
PROWS,550,1462,#2292,#1802
PROXY,749,983,#792,#2872
PRUDE,829,1505,#427,#1650
PRUNE,915,1551,#163,#1475
PSALM,526,1601,#2436,#1305
PSHAW,262,1591,#3099,#1338
PUDGY,586,795,#2016,#3027
PUFFS,303,907,#3083,#2953
PUFFY,519,520,#2473,#3092
PULLS,452,1126,#2809,#2655
PULPY,581,786,#2065,#3032
PULSE,787,1563,#583,#1431
PUMPS,328,948,#3063,#2920
PUNCH,545,1092,#2325,#2712
PUPIL,522,1053,#2462,#2776
PUPPY,541,337,#2359,#3100
PUREE,929,1240,#145,#2433
PURER,731,1350,#876,#2151
PURGE,762,1523,#723,#1572
PURSE,834,1667,#407,#1100
PUSSY,651,698,#1494,#3061
PUTTY,656,781,#1454,#3033
QUACK,588,969,#2003,#2889
QUAFF,453,795,#2806,#3027
QUAIL,659,1390,#1420,#2040
QUAKE,796,1252,#544,#2412
QUALM,556,1233,#2250,#2450
QUART,727,1514,#910,#1608
QUASI,540,1470,#2365,#1771
QUAYS,431,1371,#2878,#2090
QUEEN,596,1126,#1942,#2655
QUEER,655,1292,#1467,#2307
QUELL,523,1209,#2454,#2493
QUERY,639,1469,#1597,#1773
QUEST,613,1554,#1813,#1469
QUEUE,689,623,#1175,#3076
QUICK,523,811,#2454,#3016
QUIET,769,1435,#683,#1900
QUILL,584,809,#2034,#3017
QUILT,662,1205,#1384,#2497
QUIPS,397,1149,#2963,#2614
QUIRE,807,1509,#503,#1627
QUITE,791,1413,#565,#1968
QUITS,468,1360,#2747,#2124
QUOTA,495,1637,#2606,#1201
QUOTE,799,1449,#531,#1850
QUOTH,557,1167,#2243,#2584
RABBI,358,1692,#3038,#1014
RABID,558,1767,#2236,#803
RACED,658,2141,#1438,#146
RACER,717,1829,#989,#657
RACES,592,2374,#1973,#23
RACKS,409,1880,#2937,#552
RADII,487,1651,#2646,#1154
RADIO,533,2123,#2406,#164
RAFTS,445,2048,#2834,#249
RAGED,661,2037,#1396,#265
RAGES,595,2270,#1949,#58
RAIDS,568,2007,#2177,#303
RAILS,634,2147,#1644,#139
RAINS,654,2053,#1473,#242
RAINY,870,1666,#289,#1103
RAISE,969,2149,#101,#137
RAJAH,530,1198,#2421,#2518
RAKED,622,1991,#1746,#333
RAKES,556,2224,#2250,#79
RALLY,736,1441,#862,#1878
RANCH,613,1794,#1813,#741
RANGE,807,2023,#503,#280
RANKS,468,1901,#2747,#518
RAPID,556,1815,#2250,#695
RARER,799,1412,#531,#1971
RARES,674,1987,#1280,#339
RATED,697,2295,#1126,#46
RATES,631,2528,#1674,#4
RATIO,559,2342,#2228,#31
RAVED,653,1924,#1480,#472
RAVEN,653,2056,#1480,#238
RAVES,587,2157,#2010,#132
RAYON,502,2078,#2573,#216
RAZED,624,1867,#1727,#577
RAZOR,550,1393,#2292,#2032
REACH,728,2090,#895,#205
REACT,825,2219,#439,#83
READS,593,2321,#1961,#37
READY,809,1934,#496,#453
REALM,666,2231,#1347,#75
REALS,659,2461,#1420,#8
REAMS,592,2266,#1973,#60
REAPS,572,2305,#2149,#41
REARS,659,2002,#1420,#313
REBEL,649,1629,#1518,#1217
REBUS,385,2070,#2994,#224
REBUT,563,1970,#2203,#373
RECUR,513,1657,#2510,#1131
REEDS,467,1855,#2754,#601
REEDY,683,1468,#1214,#1776
REEFS,443,1756,#2842,#827
REEKS,457,1731,#2788,#899
REELS,533,1995,#2406,#325
REEVE,773,929,#659,#2937
REFER,653,1126,#1480,#2655
REFIT,609,2037,#1845,#265
REGAL,554,2350,#2271,#29
REIGN,600,2007,#1911,#303
REINS,614,2209,#1802,#91
RELAX,468,2233,#2747,#74
RELAY,702,2247,#1098,#69
RELIC,491,2291,#2624,#49
REMIT,631,2082,#1674,#215
RENDS,438,2181,#2856,#107
RENEW,597,1547,#1931,#1495
RENTS,488,2376,#2643,#22
REPAY,662,2044,#1384,#255
REPEL,647,1677,#1538,#1064
REPLY,656,1829,#1454,#657
RESET,736,1831,#862,#653
RESIN,527,2296,#2433,#44
RESTS,435,2049,#2864,#246
REVEL,647,1544,#1538,#1509
REVUE,706,1330,#1062,#2196
RHEUM,419,1915,#2919,#489
RHYME,614,1665,#1802,#1108
RICKS,330,1736,#3060,#884
RIDER,651,1620,#1494,#1246
RIDES,526,2165,#2436,#122
RIDGE,682,1793,#1222,#748
RIFLE,705,1902,#1069,#515
RIFTS,366,1904,#3025,#510
RIGHT,489,1707,#2635,#975
RIGID,485,1177,#2656,#2565
RILED,614,2116,#1802,#172
RILLS,441,1684,#2849,#1040
RIMES,511,2124,#2523,#163
RINGS,405,1826,#2948,#667
RINSE,800,2023,#527,#280
RIOTS,547,2094,#2315,#200
RIPEN,574,2045,#2130,#253
RIPER,633,1601,#1649,#1305
RISEN,585,2238,#2021,#72
RISER,644,1794,#1560,#741
RISES,519,1924,#2473,#472
RISKS,336,1430,#3056,#1911
RISKY,552,1458,#2282,#1822
RITES,552,2384,#2282,#21
RIVAL,507,1937,#2544,#444
RIVEN,574,1912,#2130,#494
RIVER,633,1468,#1649,#1776
RIVET,686,1913,#1194,#492
ROADS,628,1991,#1700,#333
ROAMS,627,1936,#1706,#446
ROARS,694,1672,#1150,#1081
ROAST,884,1980,#248,#347
ROBED,650,1835,#1506,#645
ROBES,584,2068,#2034,#225
ROBIN,553,1725,#2277,#918
ROCKS,404,1706,#2950,#977
ROCKY,620,1319,#1760,#2221
ROGUE,749,1821,#792,#679
ROLES,622,2319,#1746,#39
ROLLS,515,1654,#2499,#1142
ROMAN,550,1978,#2292,#353
ROOFS,547,1298,#2315,#2290
ROOKS,561,1273,#2215,#2364
ROOMS,570,1342,#2166,#2166
ROOMY,786,955,#593,#2911
ROOST,827,1386,#433,#2052
ROOTS,621,1592,#1752,#1333
ROPED,648,1883,#1526,#548
ROPES,582,2116,#2057,#172
ROSES,593,1894,#1961,#527
ROSIN,562,1966,#2210,#385
ROUGE,821,1749,#452,#850
ROUGH,579,1467,#2076,#1782
ROUND,644,1564,#1560,#1428
ROUSE,893,1893,#223,#530
ROUTE,865,1999,#302,#318
ROUTS,542,1946,#2346,#417
ROVED,648,1750,#1526,#846
ROVER,707,1438,#1049,#1888
ROWDY,604,1274,#1880,#2361
ROWED,627,1798,#1706,#728
ROYAL,563,2091,#2203,#204
RUDER,634,1484,#1644,#1716
RUFFS,275,1329,#3095,#2198
RUINS,558,1773,#2236,#795
RULED,597,1980,#1931,#347
RULER,656,1668,#1454,#1098
RULES,531,2213,#2416,#89
RUNES,555,2115,#2263,#176
RUNGS,388,1690,#2991,#1023
RUPEE,814,1355,#480,#2132
RURAL,577,1631,#2105,#1212
RUSES,502,1788,#2573,#762
SABLE,999,1681,#56,#1051
SABRE,999,1832,#56,#651
SACKS,603,1081,#1889,#2734
SADLY,908,1308,#184,#2264
SAFER,887,1904,#241,#510
SAGAS,688,798,#1180,#3023
SAGES,789,1471,#574,#1763
SAHIB,638,1516,#1606,#1601
SAILS,828,1348,#429,#2154
SAINT,1026,1569,#34,#1407
SAITH,893,1589,#223,#1343
SALAD,786,1203,#593,#2502
SALES,821,1694,#452,#1009
SALLY,930,1057,#142,#2770
SALON,754,1846,#767,#624
SALSA,745,996,#810,#2856
SALTS,698,1519,#1120,#1584
SALTY,914,1547,#170,#1495
SALVE,954,1639,#121,#1196
SALVO,656,1642,#1454,#1185
SANDS,672,1226,#1306,#2465
SANDY,888,1254,#236,#2407
SANER,970,2076,#99,#218
SATED,891,1911,#230,#497
SATIN,794,1801,#551,#721
SATYR,725,1887,#921,#540
SAUCE,1068,1592,#8,#1333
SAUCY,961,1152,#113,#2609
SAVED,847,1540,#359,#1525
SAVES,781,1358,#621,#2125
SAWED,826,1588,#434,#1345
SCALD,764,1508,#706,#1632
SCALE,1021,1794,#38,#741
SCALP,715,1520,#1001,#1579
SCALY,914,1354,#170,#2136
SCAMP,648,1325,#1526,#2209
SCANS,718,1232,#979,#2452
SCANT,896,1547,#214,#1495
SCARE,1021,1945,#38,#422
SCARF,692,1608,#1159,#1282
SCARS,698,1477,#1120,#1742
SCENE,915,1234,#163,#2448
SCENT,770,1789,#679,#761
SCION,673,1550,#1288,#1480
SCOFF,545,951,#2325,#2914
SCOLD,707,1386,#1049,#2052
SCOOP,632,994,#1661,#2859
SCOPE,877,1516,#269,#1601
SCORE,964,1823,#108,#675
SCORN,707,1669,#1049,#1093
SCOUR,709,1586,#1035,#1354
SCOUT,762,1421,#723,#1941
SCOWL,640,1310,#1591,#2256
SCRAP,589,1797,#2000,#732
SCREW,659,1737,#1420,#879
SCRIP,593,1570,#1961,#1406
SCRUB,493,1471,#2613,#1763
SCULL,662,1005,#1384,#2841
SEALS,853,1662,#337,#1118
SEAMS,786,1467,#593,#1782
SEAMY,1002,1495,#53,#1679
SEATS,837,1717,#398,#944
SECTS,623,1556,#1735,#1460
SEDAN,724,1965,#932,#388
SEDGE,915,1001,#163,#2847
SEEDS,661,1056,#1396,#2771
SEEDY,877,1084,#269,#2724
SEEKS,651,932,#1494,#2936
SEEMS,660,1001,#1407,#2847
SEERS,727,1347,#910,#2155
SEIZE,1007,906,#50,#2956
SELLS,674,1185,#1280,#2546
SEMEN,810,1231,#493,#2457
SENDS,632,1382,#1661,#2065
SENSE,1033,816,#30,#3015
SERFS,631,1485,#1674,#1710
SERGE,984,1289,#78,#2315
SERUM,671,1811,#1317,#704
SERVE,961,1191,#113,#2529
SEVEN,807,1120,#503,#2674
SEVER,866,1286,#301,#2320
SEWED,786,1036,#593,#2799
SEWER,845,1334,#366,#2186
SEXES,712,753,#1019,#3044
SHACK,828,1123,#429,#2663
SHADE,1046,1530,#20,#1555
SHADY,939,1090,#136,#2716
SHAFT,877,1278,#269,#2351
SHAKE,1036,1406,#29,#1982
SHAKY,929,966,#145,#2893
SHALE,1112,1670,#2,#1089
SHALL,889,1121,#232,#2671
SHALT,967,1517,#105,#1597
SHAME,1045,1475,#21,#1746
SHAMS,722,1007,#945,#2840
SHANK,860,1171,#318,#2577
SHAPE,1025,1514,#35,#1608
SHARE,1112,1821,#2,#679
SHARK,840,1416,#384,#1952
SHARP,806,1547,#512,#1495
SHAVE,1029,1377,#32,#2079
SHAWL,788,1308,#581,#2264
SHEAF,663,1790,#1377,#759
SHEAR,794,2139,#551,#147
SHEDS,597,1304,#1931,#2272
SHEEN,836,1280,#401,#2341
SHEEP,787,1160,#583,#2598
SHEER,895,1446,#218,#1860
SHEET,948,1281,#127,#2339
SHEIK,724,1495,#932,#1679
SHELF,657,1575,#1444,#1390
SHELL,763,1363,#710,#2110
SHIED,897,1456,#211,#1828
SHIFT,812,1120,#486,#2674
SHINE,1067,1418,#9,#1949
SHINS,744,950,#817,#2918
SHINY,960,978,#116,#2878
SHIPS,637,888,#1622,#2973
SHIRE,1047,1663,#19,#1117
SHIRK,775,1258,#645,#2398
SHIRT,902,1510,#198,#1622
SHOAL,838,1649,#393,#1159
SHOCK,771,1001,#670,#2847
SHOES,839,1310,#390,#2256
SHONE,1075,1454,#6,#1836
SHOOK,757,739,#746,#3050
SHOON,772,990,#665,#2866
SHOOT,884,991,#248,#2864
SHOPS,645,924,#1553,#2940
SHORE,1055,1699,#17,#996
SHORN,798,1545,#537,#1506
SHORT,910,1546,#178,#1502
SHOTS,716,1135,#994,#2639
SHOUT,853,1297,#337,#2294
SHOVE,972,1255,#92,#2405
SHOWN,697,1146,#1126,#2618
SHOWS,631,832,#1674,#3009
SHOWY,847,860,#359,#2991
SHRED,830,1676,#423,#1068
SHREW,750,1613,#785,#1265
SHRUB,584,1347,#2034,#2155
SHRUG,604,1361,#1880,#2120
SHUNS,673,868,#1288,#2984
SHUTS,637,1017,#1622,#2824
SHYLY,768,758,#689,#3041
SIBYL,579,1331,#2076,#2193
SIDED,786,1276,#593,#2355
SIDES,720,1366,#960,#2107
SIEGE,951,1169,#123,#2580
SIEVE,928,1071,#149,#2746
SIGHS,505,1008,#2552,#2838
SIGHT,683,1323,#1214,#2214
SIGMA,555,1558,#2263,#1450
SIGNS,623,1003,#1735,#2843
SILKS,559,1056,#2228,#2771
SILKY,775,1084,#645,#2724
SILLS,635,885,#1640,#2977
SILLY,851,913,#342,#2948
SINCE,970,1548,#99,#1491
SINEW,752,1571,#777,#1401
SINGE,922,1495,#154,#1679
SINGS,599,1027,#1919,#2814
SINKS,583,958,#2047,#2908
SIREN,855,1968,#332,#378
